,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
2,Alugado,Não,Sim,1150.0,+1000,Sim,Não
3,Próprio-Já Pago,Sim,Sim,793.0,800,Sim,Sim
5,Próprio-Já Pago,Sim,Sim,1990.0,+1000,Sim,Sim
8,Alugado,Sim,Sim,818.0,900,Sim,Sim
10,Próprio-Já Pago,Sim,Sim,1716.0,+1000,Sim,Sim
11,Próprio-Já Pago,Sim,Sim,2500.0,+1000,Sim,Sim
13,Alugado,Não,Sim,1400.0,+1000,Sim,Não
15,Alugado,Não,Sim,666.0,700,Sim,Não
17,Próprio-Já Pago,Sim,Sim,750.0,800,Sim,Sim
18,Próprio-Já Pago,Sim,Sim,1437.0,+1000,Sim,Sim
19,Próprio-Já Pago,Não,Não,600.0,700,Não,Não
20,Próprio-Já Pago,Sim,Sim,933.0,1000,Sim,Sim
23,Próprio-Ainda Pagando,Sim,Sim,2666.0,+1000,Sim,Sim
27,Próprio-Já Pago,Sim,Sim,3325.0,+1000,Sim,Sim
28,Próprio-Já Pago,Sim,Sim,3500.0,+1000,Sim,Sim
29,Alugado,Não,Sim,1172.0,+1000,Sim,Não
31,Próprio-Já Pago,Não,Sim,3000.0,+1000,Sim,Não
32,Alugado,Não,Não,366.0,400,Não,Não
33,Próprio-Já Pago,Não,Não,175.0,200,Não,Não
37,Alugado,Sim,Não,596.0,600,Não,Sim
39,Alugado,Não,Não,196.0,200,Não,Não
42,Próprio-Já Pago,Sim,Não,975.0,1000,Não,Sim
43,Alugado,Não,Não,850.0,900,Não,Não
44,Próprio-Já Pago,Não,Não,2000.0,+1000,Não,Não
45,Alugado,Sim,Não,480.0,500,Não,Sim
50,Próprio-Já Pago,Sim,Não,666.0,700,Não,Sim
54,Alugado,Não,Não,2100.0,+1000,Não,Não
66,Próprio-Já Pago,Não,Não,635.0,700,Não,Não
71,Próprio-Já Pago,Sim,Sim,550.0,600,Sim,Sim
72,Próprio-Já Pago,Não,Não,590.0,600,Não,Não
73,Próprio-Já Pago,Não,Não,2800.0,+1000,Não,Não
74,Próprio-Já Pago,Sim,Sim,625.0,700,Sim,Sim
76,Próprio-Já Pago,Não,Não,1500.0,+1000,Não,Não
77,Alugado,Não,Não,837.0,900,Não,Não
78,Próprio-Já Pago,Sim,Sim,675.0,700,Sim,Sim
79,Próprio-Já Pago,Sim,Sim,1766.0,+1000,Sim,Sim
80,Cedido de outra forma,Não,Sim,2900.0,+1000,Sim,Não
85,Próprio-Já Pago,Não,Sim,617.0,700,Sim,Não
87,Próprio-Já Pago,Não,Sim,184.0,200,Sim,Não
93,Próprio-Já Pago,Sim,Sim,512.0,600,Sim,Sim
94,Próprio-Já Pago,Sim,Sim,833.0,900,Sim,Sim
96,Próprio-Já Pago,Não,Não,490.0,500,Não,Não
97,Próprio-Já Pago,Não,Sim,232.0,300,Sim,Não
102,Próprio-Já Pago,Não,Sim,530.0,600,Sim,Não
105,Próprio-Já Pago,Não,Não,505.0,600,Não,Não
110,Próprio-Já Pago,Não,Não,250.0,300,Não,Não
111,Alugado,Não,Sim,280.0,300,Sim,Não
112,Próprio-Ainda Pagando,Não,Não,1250.0,+1000,Não,Não
113,Próprio-Já Pago,Não,Não,2125.0,+1000,Não,Não
116,Próprio-Já Pago,Não,Sim,800.0,900,Sim,Não
117,Próprio-Já Pago,Não,Sim,342.0,400,Sim,Não
119,Alugado,Não,Não,197.0,200,Não,Não
120,Próprio-Já Pago,Não,Sim,647.0,700,Sim,Não
124,Próprio-Já Pago,Não,Não,694.0,700,Não,Não
132,Próprio-Já Pago,Não,Sim,821.0,900,Sim,Não
134,Cedido de outra forma,Não,Sim,241.0,300,Sim,Não
139,Próprio-Ainda Pagando,Não,Não,433.0,500,Não,Não
140,Próprio-Já Pago,Não,Sim,440.0,500,Sim,Não
142,Alugado,Não,Sim,692.0,700,Sim,Não
143,Alugado,Não,Sim,1420.0,+1000,Sim,Não
144,Próprio-Já Pago,Não,Não,1300.0,+1000,Não,Não
152,Alugado,Não,Não,787.0,800,Não,Não
157,Próprio-Já Pago,Não,Não,1010.0,+1000,Não,Não
160,Alugado,Não,Sim,900.0,1000,Sim,Não
161,Próprio-Já Pago,Sim,Sim,187.0,200,Sim,Sim
167,Próprio-Já Pago,Não,Sim,1095.0,+1000,Sim,Não
169,Cedido de outra forma,Não,Não,222.0,300,Não,Não
170,Alugado,Não,Não,550.0,600,Não,Não
175,Cedido de outra forma,Não,Sim,120.0,200,Sim,Não
176,Próprio-Já Pago,Sim,Sim,1925.0,+1000,Sim,Sim
179,Próprio-Já Pago,Não,Sim,497.0,500,Sim,Não
180,Próprio-Já Pago,Não,Sim,1050.0,+1000,Sim,Não
181,Alugado,Não,Sim,697.0,700,Sim,Não
186,Próprio-Já Pago,Não,Sim,528.0,600,Sim,Não
189,Próprio-Já Pago,Não,Sim,900.0,1000,Sim,Não
191,Próprio-Já Pago,Sim,Sim,6000.0,+1000,Sim,Sim
197,Cedido de outra forma,Não,Sim,297.0,300,Sim,Não
205,Alugado,Não,Não,547.0,600,Não,Não
207,Próprio-Já Pago,Não,Sim,1829.0,+1000,Sim,Não
211,Cedido por Empregador,Não,Não,116.0,200,Não,Não
229,Próprio-Já Pago,Sim,Sim,4317.0,+1000,Sim,Sim
230,Alugado,Não,Sim,733.0,800,Sim,Não
232,Próprio-Já Pago,Não,Sim,3000.0,+1000,Sim,Não
237,Próprio-Já Pago,Não,Sim,1600.0,+1000,Sim,Não
240,Próprio-Já Pago,Sim,Sim,1230.0,+1000,Sim,Sim
243,Próprio-Já Pago,Sim,Sim,3133.0,+1000,Sim,Sim
244,Alugado,Sim,Sim,2000.0,+1000,Sim,Sim
245,Próprio-Já Pago,Sim,Não,875.0,900,Não,Sim
247,Próprio-Já Pago,Sim,Não,850.0,900,Não,Sim
249,Próprio-Já Pago,Não,Sim,1125.0,+1000,Sim,Não
250,Alugado,Não,Sim,1150.0,+1000,Sim,Não
255,Próprio-Já Pago,Não,Sim,999999999999.0,+1000,Sim,Não
257,Próprio-Já Pago,Sim,Não,1080.0,+1000,Não,Sim
264,Alugado,Não,Sim,876.0,900,Sim,Não
272,Próprio-Já Pago,Sim,Sim,808.0,900,Sim,Sim
274,Alugado,Não,Não,1575.0,+1000,Não,Não
277,Alugado,Não,Não,2000.0,+1000,Não,Não
278,Próprio-Ainda Pagando,Sim,Sim,950.0,1000,Sim,Sim
280,Próprio-Já Pago,Não,Não,4000.0,+1000,Não,Não
284,Próprio-Ainda Pagando,Sim,Sim,2200.0,+1000,Sim,Sim
285,Alugado,Sim,Sim,907.0,1000,Sim,Sim
286,Próprio-Já Pago,Não,Não,1550.0,+1000,Não,Não
293,Cedido de outra forma,Não,Não,759.0,800,Não,Não
294,Próprio-Já Pago,Não,Sim,309.0,400,Sim,Não
297,Próprio-Já Pago,Não,Sim,1700.0,+1000,Sim,Não
298,Próprio-Já Pago,Não,Não,500.0,600,Não,Não
300,Próprio-Já Pago,Não,Sim,197.0,200,Sim,Não
303,Alugado,Sim,Sim,3000.0,+1000,Sim,Sim
304,Próprio-Já Pago,Não,Sim,375.0,400,Sim,Não
306,Próprio-Já Pago,Não,Sim,644.0,700,Sim,Não
308,Próprio-Já Pago,Não,Sim,1788.0,+1000,Sim,Não
